tag_ID, x, y, position, rotation
74,4,0,5,0
142,4,0,4,90
152,5,0,6,180
75,5,0,7,90
151,6,0,4,90
77,6,0,5,0
161,7,0,6,180
78,7,0,7,90
58,4,1,2,0
76,5,1,1,180
141,6,1,2,0
79,7,1,1,180
88,2,2,5,0
160,2,2,4,90
90,3,2,7,90
84,4,2,5,0
46,4,2,4,90
197,5,2,6,180
87,5,2,7,90
14,6,2,4,90
80,6,2,5,0
15,7,2,6,180
83,7,2,7,90
89,2,3,3,270
66,2,3,2,0
140,3,3,0,270
85,4,3,3,270
199,4,3,2,0
198,5,3,0,270
86,5,3,1,180
81,6,3,3,270
16,6,3,2,0
13,7,3,0,270
82,7,3,1,180
92,2,4,5,0
159,2,4,4,90
93,3,4,7,90
201,4,4,5,0
47,4,4,4,90
44,5,4,6,180
200,5,4,7,90
223,6,4,5,0
260,7,4,6,180
138,8,4,7,90
148,9,4,6,180
211,9,4,7,90
91,2,5,3,270
149,2,5,2,0
139,3,5,0,270
202,4,5,3,270
45,4,5,2,0
48,5,5,0,270
94,5,5,1,180
222,6,5,3,270
62,6,5,2,0
147,7,5,0,270
221,7,5,1,180
209,8,5,3,270
158
